Governance Area,KPI,Definition,Target,Measurement Frequency,Primary Owner,Escalation Trigger
Data Quality,Completeness,Percentage of required data fields populated,>=85%,Monthly,Data Owner,Below target
Data Quality,Accuracy,Percentage of data assessed as correctly representing the required information,>=90%,Monthly,Data Owner,Below target
Data Quality,Duplicate Rate,Percentage of records identified as duplicates,<5%,Monthly,Data Steward,At or above 5%
Governance,Ownership Coverage,Percentage of governed data assets with an assigned Data Owner,100%,Monthly,Governance Lead,Below 100%
Governance,Policy Compliance,Percentage compliance with approved Data Governance policies,>=95%,Quarterly,Governance Lead,Below target
Metadata,Catalogue Coverage,Percentage of priority data assets represented in the data catalogue,>=90%,Monthly,Data Steward,Below target
Metadata,Lineage Coverage,Percentage of priority data flows with documented lineage,>=80%,Monthly,IT / Data Team,Below target
Compliance,KYC Completion,Percentage of applicable customer records with completed KYC requirements,>=95%,Monthly,Compliance,Below target
AI,Bias Gap,Measured difference used to identify potential bias across relevant groups,<10%,Per Model Review,AI Governance Owner,At or above 10%
AI,Model Monitoring,Percentage of governed AI models subject to required monitoring,100%,Monthly,AI Governance Owner,Below 100%
Adoption,Training Completion,Percentage of targeted personnel completing required governance training,>=90%,Quarterly,Governance Lead,Below target
Risk,Data Incidents,Number of material data incidents,0,Monthly,Governance Lead,Any material incident
Operations,Issue Resolution Time,Time required to resolve logged governance and Data Quality issues,Downward Trend,Monthly,Data Steward,Increasing trend or overdue critical issue
Operations,Data Error Rate,Rate of identified data errors across monitored datasets,Downward Trend,Monthly,Data Owner,Increasing trend
Compliance,Audit Findings,Number and severity of governance-related audit findings,Downward Trend,Quarterly,Compliance,New high-risk finding or increasing trend
Data Quality,Timeliness,Percentage of records updated within the required timeframe,>=85%,Monthly,Data Owner,Below target
