Data Domain,Critical Data Element,Business Definition,Primary System,Data Owner,Data Steward,Classification,Key Data Quality Requirement,Regulatory / Business Importance
Customer,Customer_ID,Unique identifier assigned to each customer,Core Banking,Customer Data Owner,Customer Data Steward,Restricted,Must be unique and complete,Customer identification and cross-system reconciliation
Customer,Customer_Name,Official customer name recorded by the bank,Core Banking,Customer Data Owner,Customer Data Steward,Restricted,Must be complete and accurate,Customer identification and KYC
Customer,Date_of_Birth,Customer date of birth used for identification and verification,Core Banking,Customer Data Owner,Customer Data Steward,Restricted,Must be complete accurate and valid,KYC and identity verification
Customer,Email_Address,Primary customer email address,CRM,Customer Data Owner,Customer Data Steward,Confidential,Must be complete and follow valid email format,Customer communication and identity information
Customer,Phone_Number,Primary customer contact telephone number,CRM,Customer Data Owner,Customer Data Steward,Confidential,Must be complete and valid,Customer communication and verification
Compliance,KYC_Status,Current Know Your Customer verification status,Core Banking,Compliance Data Owner,Compliance Data Steward,Restricted,Must not be null and must be current,Regulatory compliance and financial crime controls
Compliance,Customer_ID_Document,Customer identity-document information,Document Management,Compliance Data Owner,Compliance Data Steward,Restricted,Must be complete valid and securely maintained,KYC and identity verification
Account,Account_Number,Unique identifier for a customer bank account,Core Banking,Account Data Owner,Account Data Steward,Restricted,Must be unique complete and valid,Account servicing transaction processing and reporting
Account,Account_Status,Current operational status of an account,Core Banking,Account Data Owner,Account Data Steward,Confidential,Must use approved status values and be current,Account management and operational reporting
Transaction,Transaction_ID,Unique identifier assigned to a financial transaction,Core Banking,Transaction Data Owner,Transaction Data Steward,Restricted,Must be unique and complete,Transaction traceability audit and reconciliation
Transaction,Transaction_Amount,Monetary value of a financial transaction,Core Banking,Transaction Data Owner,Transaction Data Steward,Confidential,Must be accurate complete and valid,Financial reporting reconciliation and risk monitoring
Transaction,Transaction_Date,Date and time associated with a financial transaction,Core Banking,Transaction Data Owner,Transaction Data Steward,Confidential,Must be valid complete and timely,Audit reporting and transaction monitoring
Credit,Credit_Score,Customer credit-risk score used in lending decisions,Loan System,Credit Risk Data Owner,Credit Risk Data Steward,Restricted,Must be accurate current and traceable,Credit decisioning and model governance
Credit,Income,Verified customer income used during credit assessment,Loan System,Credit Risk Data Owner,Credit Risk Data Steward,Restricted,Must be complete accurate and current,Creditworthiness assessment
Credit,Loan_Application_ID,Unique identifier assigned to a loan application,Loan System,Credit Risk Data Owner,Credit Risk Data Steward,Confidential,Must be unique and complete,Loan processing traceability and reporting
Risk,Fraud_Risk_Score,Risk score used to support fraud detection and monitoring,Fraud Detection System,Risk Data Owner,Risk Data Steward,Restricted,Must be accurate current and monitored,Fraud detection and risk management
Risk,AML_Risk_Rating,Customer risk rating used for Anti-Money Laundering monitoring,AML Monitoring System,Risk Data Owner,Risk Data Steward,Restricted,Must be complete current and governed,AML compliance and financial crime monitoring
Finance,General_Ledger_Account,Identifier used for financial accounting and reporting,Finance System,Finance Data Owner,Finance Data Steward,Confidential,Must be accurate complete and reconciled,Financial reporting and audit
Finance,Reporting_Balance,Financial balance used in management and regulatory reporting,Finance System,Finance Data Owner,Finance Data Steward,Confidential,Must be accurate reconciled and timely,Financial and regulatory reporting
AI,AI_Model_ID,Unique identifier assigned to a governed AI model,AI Model Inventory,AI Governance Owner,AI Governance Steward,Internal,Must be unique complete and traceable,AI inventory accountability and model governance
AI,AI_Model_Risk_Tier,Risk classification assigned to an AI model,AI Model Inventory,AI Governance Owner,AI Governance Steward,Internal,Must use approved Tier 1 to Tier 4 values,Determines governance oversight and control requirements
